loan_amnt,hardship_flag,revol_bal,out_prncp,total_pymnt,disbursement_method,total_pymnt_inv,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,application_type,total_rec_int,addr_state,total_rec_prncp,verification_status,term,int_rate,grade,emp_length,home_ownership,purpose,issue_d,loan_status,pymnt_plan,debt_settlement_flag,annual_inc,last_credit_pull_d
5000.0,0,3677.0,0.0,5341.5395551846,0,5341.54,0.0,0.0,0.0,4361.04,0,341.54,33,5000.0,0,0,11.44,1,10.0,3,2,0,0,0,0,30000.0,0.25205479452054796
3600.0,0,616.0,0.0,694.1,0,694.1,0.0,0.0,0.0,141.22,0,333.73,42,360.37,2,0,23.99,4,2.0,3,11,0,1,0,0,12432.0,0.08493150684931507
1000.0,0,3318.0,0.0,1087.45,0,1087.45,0.0,0.0,0.0,881.51,0,87.45,13,1000.0,1,0,14.99,2,3.0,1,8,0,0,0,0,66560.0,0.25205479452054796
14000.0,0,16200.0,0.0,14397.172665383401,0,14114.37,0.0,0.0,0.0,11877.85,0,397.17,19,14000.0,0,0,5.32,0,2.0,1,3,0,0,0,0,115000.0,0.4191780821917808
14400.0,0,16428.0,0.0,15448.887143208201,0,15448.89,0.0,0.0,0.0,189.32,0,1048.89,1,14400.0,0,1,18.99,3,10.0,1,2,0,0,0,0,135000.0,0.08493150684931507
15000.0,0,9417.0,0.0,15257.68382154,0,15257.68,0.0,0.0,0.0,14787.55,0,257.68,4,15000.0,1,0,11.39,1,10.0,3,1,0,0,0,0,68000.0,0.7479452054794521
8325.0,0,2821.0,7242.7,1808.76,0,1808.76,0.0,0.0,0.0,305.12,0,726.46,33,1082.3,1,0,18.99,3,1.0,3,2,0,1,0,0,28100.0,0.08493150684931507
8800.0,0,3646.0,0.0,8954.847050668299,0,8954.85,0.0,0.0,0.0,2002.9,0,154.85,36,8800.0,2,0,7.49,0,0.0,3,0,0,0,0,0,99224.0,0.5041095890410959
3000.0,0,1295.0,0.0,3304.8496606146,0,3304.85,0.0,0.0,0.0,2755.78,0,304.85,42,3000.0,2,0,19.99,3,0.0,1,11,0,0,0,0,47840.0,0.08493150684931507
21000.0,0,11652.0,0.0,22376.8175894302,0,22376.82,0.0,0.0,0.0,20038.83,1,1376.82,14,21000.0,0,1,12.74,2,4.0,3,2,0,0,0,0,75000.0,0.08493150684931507
5000.0,0,5155.0,0.0,5402.6332553515995,0,5402.63,0.0,0.0,0.0,3616.26,0,402.63,33,5000.0,1,0,13.99,2,5.0,3,2,0,0,0,0,38000.0,0.16712328767123288
